,ID,Type,Language_1,Lexeme_1,Meaning_1,Direction,Language_2,Lexeme_2,Meaning_2
40340,shift2878, Polysemy,Yaqui (Hiaki),kuakta,to turn (tr.),→,Yaqui (Hiaki),kuakta,to convert (tr.)
40344,shift2879, Cognates,German,schmal,"narrow, slender (not wide, comparatively long)",→,English,small,not large or big
40346,shift2880, Polysemy,Croatian,tanak,thin (of an object),→,Croatian,tanak,"little, small"
40347,shift2880, Borrowing,French,fin,thin (of an object),→,English,fine,"little, small"
40348,shift2880, Cognates,Geez,ḳaṭṭin,"fine, thin",—,Ancient Hebrew,ḳāṭān,small
40349,shift2880, Polysemy,Kubachi,безиб,thin (of an object),—,Kubachi,безиб,"little, small"
40350,shift2880, Polysemy,Serbian,танак (tanak),thin (of an object),→,Serbian,танак (tanak),"little, small"
40351,shift2880, Polysemy,Turkish,ince,thin (of an object),→,Turkish,ince,"fine, small"
40358,shift2881, Polysemy,Akkadian,kabru,"fattened, fat, thick, plump",→,Akkadian,kabru,large
40359,shift2881, Cognates,Akkadian,ebû,to be thick,→,Geez,ʕabya,"to be great, big, large"
40360,shift2881, Polysemy,French,gros,"thick, fat",—,French,gros,"big, large"
40361,shift2881, Polysemy,Hill Mari,ыльыс,thick,—,Hill Mari,ыльыс,big
40362,shift2881, Borrowing,Latin,crassus,"fat, rough",→,German,krass,"huge, extreme, remarkable"
40363,shift2881, Polysemy,Meadow Mari,кугу,(colloquial) thick,←,Meadow Mari,кугу,big
40364,shift2881, Polysemy,Serbian,дебео (debeo),thick,→,Serbian,дебео (debeo),big
40365,shift2881, Cognates,Udmurt,зӧк,thick,—,Udmurt,зӧк,(dialect) big
40374,shift2882, Polysemy,Assyrian Neo-Aramaic,daqīqā (ܕܲܩܝܼܩܵܐ),"little, small",→,Assyrian Neo-Aramaic,daqīqā (ܕܲܩܝܼܩܵܐ),minute
40375,shift2882, Derivation,Classical Arabic,daḳīḳ-,"'slender, thin, small, minute, fine'",→,Classical Arabic,daḳīḳat-,'minute (of time)'
40376,shift2882, Semantic evolution,Latin,minuta,small (adj. fem.),→,Medieval Latin,minuta,minute
40377,shift2882, Derivation,Modern Hebrew,dak (דַּק),"thin; skinny, lean; small, diminutive",→,Modern Hebrew,daká (דַּקָּה),minute
40382,shift2883, Polysemy,Classical Arabic,raṭb-,"moist, humid, juicy",→,Classical Arabic,raṭb- ,"vicious, unchaste"
40384,shift2884, Polysemy,Classical Arabic,dahana,'to anoint',→,Classical Arabic,dahana,'to play a hypocrite'
40385,shift2884, Polysemy,Tigrinya,läḳ̃läḳ̃ä,"'to paint, daub, smear, coat walls with mud'",→,Tigrinya,läḳ̃läḳ̃ä,"'to be a talebearer, to lie'"
40386,shift2884, Polysemy,Tigrinya,lässänä,"'to plaster, to whitewash a wall, to smooth (by filling in gaps)",→,Tigrinya,lässänä,"'to flatter, deceive, hoax, to wheedle, cajole, caress (in order to gain s.o.'s affection or favor'"
40390,shift2885, Polysemy,Classical Arabic,ġaluẓa,to be thick,→,Classical Arabic,ġaluẓa,"to be coarse, rough, rugged"
40392,shift2886, Polysemy,Classical Arabic,ġalīẓ-,"'thick, gross, big, bulky",→,Classical Arabic,ġalīẓ-,"'(applied to an affaire) hard, difficult'"
40394,shift2887, Derivation,Classical Arabic,ṣulb-,"'hard, firm, rigid, stiff, tough, strong'",—,Classical Arabic,ṣulb-,'the back; back-bone; a portion of the back; any portion of the back containing vertebrae'
40395,shift2887, Derivation,Classical Arabic,matn-,'back',→,Classical Arabic,matīn-,'strong; stout; firm; hard'
40398,shift2888, Polysemy,Thai,baan (บาล),to nourish,→,Thai,baan (บาล),to govern; to reign
40399,shift2888, Polysemy,Tigre,mawana,tto nourish,→,Tigre,mawana; mawāni,to administer; administrator
40400,shift2888, Cognates,Tigrinya,mäggäbä,"to feed, to nourish",→,Geez,maggaba,"to steer, be a steward, direct, manage, administer"
40404,shift2889, Polysemy,Tigrinya,ʔalmäṣä,"‘to smooth, plane (smooth)’",→,Tigrinya,ʔalmäṣä,"‘to lick (one’s fingers, a spoon in order to taste’"
40406,shift2890, Polysemy,Tigrinya,läḳ̃läḳ̃ä,"'to paint, daub, smear, coat walls with mud''",→,Tigrinya,läḳ̃läḳ̃ä,"'to rinse (dishes, earthenware, clothes); to polish, shine (shoes, leather)'"
40407,shift2890, Polysemy,Tigrinya,masägʷä,"'to anoint, smear one’s head with fresh butter, coat one’s hair with a layer of fat etc.’",—,Tigrinya,masägʷä,"‘to wipe clean (e.g., a baby’s behind)'"
40410,shift2891, Polysemy,Komi-Permyak,пешлыны,to taste (tr.),—,Komi-Permyak,пешлыны,to touch (by hand)
40411,shift2891, Polysemy,Tigrinya,läḵäfä,"'to taste, appraise something with the sense of taste'",—,Tigrinya,läḵäfä,"'to touch with the fingertip, to rub lightly, to barely elbow s.o.'"
40414,shift2892, Derivation,Classical Arabic,massa (active),to touch (with hand),→,Classical Arabic,mussa (passive),"touched with madness, insanity, or by a devil; mad, insane"
40415,shift2892, Polysemy,English,touched,past participle of touch,→,English,touched,insane
40416,shift2892, Polysemy,Russian,тронутый (tronutyj),touched,→,Russian,тронутый (tronutyj),insane
40417,shift2892, Derivation,Tigrinya,läḵäfä,"to touch with the fingertip, to rub lightly, to barely elbow s.o.",→,Tigrinya,ləḵuf,"frivolous, thoughtless, stupid, scatterbrained, mentally disturbed, maniac"
40422,shift2893, Polysemy,Tigrinya,laʕṭäṭä,"'to mix water and flour, to make dough, to knead'",→,Tigrinya,laʕṭäṭä,"'to hit, beat s.o. mercilessly'"
40423,shift2893, Polysemy,Tigrinya,läwäsä,"'to knead (dough), to squeeze, press hard in order to mix and to soften, e.g. clay'",→,Tigrinya,läwäsä,"'to hit hard, rain down blows'"
40426,shift2894, Polysemy,Amharic,sännäfä,to be or become insipid (food or beverage),←,Amharic,sännäfä,"to be lazy, indolent, to become idle, to shirk work"
40427,shift2894, Polysemy,Tigrinya,läzläzä,'to be insipid (food)',→,Tigrinya,läzläzä,"to be lazy, slothful (person)'"
40430,shift2895, Polysemy,English,yoke,"bar or frame by which two oxen or other draught animals are joined at their necks enabling them to pull a cart, plough, etc.",→,English,yoke,"(chiefly Kent, archaic) An area of arable land, specifically one consisting of a quarter of a suling, or around 50–60 acres (20–24 hectares); hence, a small manor or piece of land"
40431,shift2895, Polysemy,Latin,iugum,(literal) a yoke (for oxen or cattle),→,Latin,iugum,"a juger of land, Roman unit of area, equivalent to 2 acti or 28,800 square feet (approximately ⅔ acre or ¼ hectare)"
40432,shift2895, Polysemy,Romanian,jug,yoke,→,Romanian,jug,"old unit of area (7,161 square meters)"
40433,shift2895, Derivation,Spanish,yugo,yoke,→,Spanish,yugada,"(historical) yugada, Spanish yoke (a traditional unit of area equivalent to about 32.2 ha)"
40438,shift2896, Derivation,Classical Arabic,zahara,"'to shine, to glisten'",→,Classical Arabic,zahr-,"'flower, blossom'"
40440,shift2897, Polysemy,Classical Arabic,ṣaḥā,to be/become cloudless,→,Classical Arabic,ṣaḥā,to recover from intoxication
40442,shift2898, Polysemy,Finnish,selvä,"clear, distinct, obvious, evident; clean, limpid (of water, liquid)",→,Finnish,selvä,sober
40443,shift2898, Cognates,German,sauber,clean,—,English,sober,sober
40446,shift2899, Polysemy,Classical Arabic,dahr-,time; any long period of time,—,Classical Arabic,dahr-,fortune; fate
40447,shift2899, Cognates,Polish,rok,year,→,Russian,rok,destiny
40450,shift2900, Polysemy,Classical Arabic,ḫaṭiʔa,"to commit a mistake, an error",→,Classical Arabic,ḫaṭiʔa,"to commit a sin, a crime"
40451,shift2900, Polysemy,Croatian,griješiti ,"to make a mistake, be wrong",←,Croatian,griješiti ,to sin
40452,shift2900, Polysemy,Geez,səḥta,"make a mistake, err",—,Geez,səḥta,"sin, do wrong"
40453,shift2900, Polysemy,Geez,gegaya,err,→,Geez,gegaya,"go wrong, sin, deal wrongfully, deceive, beguile"
40454,shift2900, Cognates,Macedonian,greška,error,→,Russian,greh,sin
40455,shift2900, Polysemy,Osetin,rædyjyn / rædujun,to be wrong,→,Osetin,rædyjyn / rædujun,to sin
40456,shift2900, Polysemy,Romanian,a greşi,to be wrong,—,Romanian,a greşi,to sin
40457,shift2900, Polysemy,Serbian,грешити (grešiti),"to make a mistake, be wrong",←,Serbian,грешити (grešiti),to sin
40458,shift2900, Polysemy,Spanish,pecar,to be wrong,—,Spanish,pecar,to sin
40459,shift2900, Derivation,Tagalog,sala,error,→,Tagalog,kasalanan,"blame, sin"
40460,shift2900, Polysemy,Turkish,hefve,"mistake, error",→,Turkish,hefve,sin
40461,shift2900, Polysemy,Turkish,muhtî,"wrong, mistaken",→,Turkish,muhtî,sinful
40474,shift2901, Polysemy,Amharic,satä,"to miss (the target), to fail to hit",—,Amharic,satä,"to err, to be mistaken, make a mistake"
40475,shift2901, Polysemy,Classical Arabic,"ḫaṭiʔa, ḫaṭiʔa","to commit a mistake, an error",—,Classical Arabic,"ḫaṭiʔa, ʔaḫṭaʔa","to miss, to fail of hitting"
40476,shift2901, Polysemy,Geez,səḥta,"to miss (a target, an aim)",—,Geez,səḥta ,"to make a mistake, error"
40477,shift2901, Cognates,Old East Slavic,грѣшити,to miss the target,—,Serbian,грешити (grešiti),"to make a mistake, be wrong"
40478,shift2901, Cognates,Old East Slavic,грѣшити,to miss the target,—,Croatian,grešiti,"to make a mistake, be wrong"
40479,shift2901, Polysemy,Tigrinya,säḥatä ,"to miss (target, etc.)",—,Tigrinya,säḥatä ,"to make a mistake, to err, to blunder"
40486,shift2902, Polysemy,Classical Arabic,ʕāda,to return ,→,Classical Arabic,ʕāda,to visit
40487,shift2902, Cognates,Geez,zora,"to go around, turn around",→,Classical Arabic,zāra,to visit
40490,shift2903, Polysemy,Alekano,izá,meat,—,Alekano,izá,pig
40491,shift2903, Polysemy,Gela (Nggela),mbolo,meat of any sort,←,Gela (Nggela),mbolo,pig (Sus scrofa)
40492,shift2903, Polysemy,Kyaka,mena,meat,—,Kyaka,mena,pig (Sus scrofa)
40493,shift2903, Polysemy,Nimo,p̠u,meat,—,Nimo,p̠u,pig (Sus scrofa)
40494,shift2903, Polysemy,Pyu (Papuan),wɛʔ,meat,—,Pyu (Papuan),wɛʔ,pig (Sus scrofa)
40495,shift2903, Polysemy,Sau (Samberigi),mænæ,meat,—,Sau (Samberigi),mænæ,pig (Sus scrofa)
40496,shift2903, Polysemy,Tauade,pɔřu,meat,—,Tauade,pɔřu,pig (Sus scrofa)
40497,shift2903, Polysemy,Yaweyuha,ja,meat,—,Yaweyuha,ja,pig
40506,shift2904, Polysemy,Tigre,nagā,"to be pure, clean, bright",—,Tigre,nagā,"to be sound, recovering"
40508,shift2905, Polysemy,Classical Arabic,وَجْه wağh-,face,→,Classical Arabic,وَجْه wağh-,side (n.)
40509,shift2905, Polysemy,Syriac,"paʔtā, patā",face,—,Syriac,"paʔtā, patā",side
40510,shift2905, Polysemy,Tho (Tày),nả,face,→,Tho (Tày),nả,side (n.)
40514,shift2906, Polysemy,Classical Arabic,faǧara,"'to incline, to lean'",—,Classical Arabic,faǧara,"'to decline, deviate'"
40516,shift2907, Polysemy,Classical Arabic,faǧara,"to decline, deviate",→,Classical Arabic,faǧara,"to lie; to commit a foul deed; to act vitiously, immorally"
40518,shift2908, Polysemy,English,pussy,pussy cat,→,English,pussy,vagina (vulg.)
40519,shift2908, Polysemy,French,chat,cat ,→,French,chat,cunt (vulg.)
40520,shift2908, Polysemy,German,Muschi,'Katze',—,German,Muschi,'weibliches Geschlechtsorgan'
40521,shift2908, Cognates,Serbian,куна (kuna),marten,→,Russian,куна (kuna),vagina
40526,shift2909, Derivation,Lower Sorbian,kura,hen,→,Lower Sorbian,kurica,vagina
40527,shift2909, Polysemy,Slovenian,kurica,hen,→,Slovenian,kurica,vagina
40530,shift2910, Polysemy,Abaza,цIагъа,thin (of an object),→,Abaza,цIагъа,sparse
40531,shift2910, Polysemy,Akkadian,raḳḳu,'thin',→,Akkadian,raḳḳu,'thin (of hair)'
40532,shift2910, Polysemy,Japanese,usui (薄い),thin (flat objects),→,Japanese,usui (薄い),sparse (hair)
40536,shift2911, Polysemy,Akkadian,napāšu,to breath freely,→,Akkadian,napāšu,"to expand, to become abundand"
40538,shift2912, Polysemy,"Amba, Nembao (Solomon Islands)",imbiɔmɔ,weak,—,"Amba, Nembao (Solomon Islands)",imbiɔmɔ,lazy
40539,shift2912, Polysemy,Amharic,sänäf,"weak, feeble",—,Amharic,sänäf,"lazy, indolent"
40540,shift2912, Polysemy,Chorote (Iyo'wujwa Chorote),xe-tuskiʔ,weak,—,Chorote (Iyo'wujwa Chorote),xe-tuskiʔ,lazy
40541,shift2912, Polysemy,Guarani,kaŋɨ,weak,—,Guarani,kaŋɨ,lazy
40542,shift2912, Polysemy,Kiga (Rukiga),obworo,weak,—,Kiga (Rukiga),obworo,lazy
40543,shift2912, Polysemy,Komi-Permyak,нуженик,weak,→,Komi-Permyak,нуженик,lazy
40544,shift2912, Polysemy,Kubachi,гIякядихь,weakness,—,Kubachi,гIякядихь,laziness
40545,shift2912, Polysemy,"Manang (Manange, Nyishang)",4tsʰʌɾ,weak,—,"Manang (Manange, Nyishang)",4tsʰʌɾ,lazy
40546,shift2912, Polysemy,Ngoreme (Ngurimi),omorusu,weak,—,Ngoreme (Ngurimi),omorusu,lazy
40547,shift2912, Polysemy,Nkore (Runyankore),omweremwa,weak,—,Nkore (Runyankore),omweremwa,lazy
40548,shift2912, Polysemy,Rennellese,loloŋgi,weak,—,Rennellese,loloŋgi,lazy
40549,shift2912, Polysemy,Sizaki (Shashi),mtobhu,weak,—,Sizaki (Shashi),mtobhu,lazy
40550,shift2912, Polysemy,Suba,-rosu,weak,—,Suba,-rosu,lazy
40551,shift2912, Polysemy,Tamil,cōtā,weak person,—,Tamil,cōtā,lazy fellow
40552,shift2912, Polysemy,Turkish,miskin,"pathetic, insignificant; wretched; feeble; weak",→,Turkish,miskin,leprosy
40553,shift2912, Polysemy,Udmurt,катьтэм,powerless; infirm; weak; sluggish,—,Udmurt,катьтэм,lazy
40554,shift2912, Polysemy,Uncunwee (Ghulfan),"atul, atule",weak,—,Uncunwee (Ghulfan),"atul, atule",lazy
40555,shift2912, Cognates,Welsh,llesg,"weak, feeble, faint",—,Old Irish,lesc,lazy
40574,shift2913, Polysemy,Geez,dakma,'to become weak',—,Geez,dakma,"'to become weary, be tired, exhausted'"
40575,shift2913, Polysemy,Gela (Nggela),luŋgu,weak,—,Gela (Nggela),luŋgu,tired
40576,shift2913, Polysemy,Lushai,chau,weak,—,Lushai,chau,tired
40577,shift2913, Polysemy,Malagasy,ma[vozo]vòzo,weak,—,Malagasy,ma[vozo]vòzo,tired
40578,shift2913, Polysemy,Malo,mewe,weak,—,Malo,mewe,tired
40579,shift2913, Polysemy,"Manang (Manange, Nyishang)",4tsʰʌɾ,weak,—,"Manang (Manange, Nyishang)",4tsʰʌɾ,tired
40580,shift2913, Polysemy,Mbaenggu (Baeggu),makesɔ,weak,—,Mbaenggu (Baeggu),makesɔ,tired
40581,shift2913, Polysemy,Nduke (Duke),elelu,weak,—,Nduke (Duke),elelu,tired
40582,shift2913, Polysemy,Prai (Phai),"mä:t, mɛ:t",weak,—,Prai (Phai),"mä:t, mɛ:t",tired
40583,shift2913, Polysemy,Q'eqchi',"lub'lu, lub'lub'",weak,—,Q'eqchi',"lub'lu, lub'lub'",tired
40584,shift2913, Polysemy,Samoan,vāivai,be weak,—,Samoan,vāivai,be tired
40585,shift2913, Polysemy,Tikopia,malūlū,weak,—,Tikopia,malūlū,tired
40586,shift2913, Polysemy,Tolai (Kuanua),[mal-]malu,weak,→,Tolai (Kuanua),[mal-]malu,tired
40587,shift2913, Polysemy,Toʼabaita (Toqabaqita),fenda,weak,→,Toʼabaita (Toqabaqita),fenda,tired
40588,shift2913, Polysemy,Upper Chehalis,'xʷən-,weak,—,Upper Chehalis,'xʷən-,tired
40589,shift2913, Polysemy,Waurá,mala,weak,—,Waurá,mala,tired
40590,shift2913, Polysemy,White Hmong (Hmong Daw),tsaug,weak,—,White Hmong (Hmong Daw),tsaug,tired
40591,shift2913, Polysemy,Yagua,diwãhnĩ,weak,—,Yagua,diwãhnĩ,tired
40610,shift2914, Derivation,Amharic,ḳäč̣č̣ən,"‘thin (person, voice, cloth), narrow (ribbon, road)’ (K 839)",→,Amharic,ḳäčč̣̣əne,"‘giraffe; long, slender spear; kind of wheat’ (K 839)"
40612,shift2915, Derivation,Tigre,ḳaṭin,"‘thin, fine, slender’",→,Tigre,maḳṭan,'back (of animals); body (of men)'
40614,shift2916, Syncretism,'Āre'āre,mā,worm,—,'Āre'āre,mā,snake
40615,shift2916, Polysemy,Akhvakh,бека,worm,—,Akhvakh,бека,snake
40616,shift2916, Polysemy,Andi,берка,worm,—,Andi,берка,snake
40617,shift2916, Polysemy,Botlikh,берка,worm,—,Botlikh,берка,snake
40618,shift2916, Polysemy,Central Siberian Yupik,nɨmɨɡʲjaq,worm,—,Central Siberian Yupik,nɨmɨɡʲjaq,snake
40619,shift2916, Polysemy,Chamalal,beča,worm,—,Chamalal,beča,snake
40620,shift2916, Polysemy,Chukchee,kəmʔəɬɣən,worm,—,Chukchee,kəmʔəɬɣən,snake
40621,shift2916, Polysemy,Estonian,uss,(zoology) worm,—,Estonian,uss,snake
40622,shift2916, Cognates,Finnish,mato,worm,—,Estonian,madu,snake
40623,shift2916, Syncretism,Gedaged,mot,worm,—,Gedaged,mot,snake
40624,shift2916, Syncretism,Gumawana (Gumasi),moteta,worm,—,Gumawana (Gumasi),moteta,snake
40625,shift2916, Cognates,Harsusi,šəbšīb,"small red worm, centipede ",—,Akkadian,šibbu,a snake 
40626,shift2916, Polysemy,Hup,jɔ̃h,worm,—,Hup,jɔ̃h,snake
40627,shift2916, Derivation,Japanese,mushi,"insect, worm",→,Japanese,mamushi,viper
40628,shift2916, Cognates,Jewish Aramaic,hī(ʔ),name of a worm ,—,Jibbali,hɔt,"big, long snake "
40629,shift2916, Polysemy,Karelian,mato,worm,—,Karelian,mato,(dialect) snake
40630,shift2916, Polysemy,Khwarshi,бекол,worm,—,Khwarshi,бекол,snake
40631,shift2916, Polysemy,Koryak,ынгэм,"worm, caterpillar",—,Koryak,ынгэм,viper
40632,shift2916, Syncretism,Kwaio,waa,worm,—,Kwaio,waa,snake
40633,shift2916, Syncretism,Kwaio,wā,worm,—,Kwaio,wā,snake
40635,shift2916, Polysemy,Lak,шатта,worm,—,Lak,шатта,snake
40636,shift2916, Syncretism,Lau (Malaita island),wā,worm,—,Lau (Malaita island),wā,snake
40637,shift2916, Derivation,Manam,mwata-mwata,worm,←,Manam,mwata,snake
40638,shift2916, Polysemy,Mandarin Chinese,chóng (虫),worm,—,Mandarin Chinese,chóng (虫),snake
40639,shift2916, Polysemy,Middle English,worm,worm,—,Middle English,worm,snake
40640,shift2916, Syncretism,Minaveha,mwata-mwata,worm,—,Minaveha,mwata-mwata,small snake
40641,shift2916, Polysemy,Norwegian,orm,worm,—,Norwegian,orm,snake
40642,shift2916, Polysemy,Old English,wyrm,worm,—,Old English,wyrm,snake
40643,shift2916, Derivation,Saliba (New Guinea),mwata-mwata,earthworm,←,Saliba (New Guinea),mwata,snake
40644,shift2916, Polysemy,Sanskrit,vihrut,worm,—,Sanskrit,vihrut,a species of a snake
40645,shift2916, Polysemy,Tindi,бекʼа,worm,—,Tindi,бекʼа,snake
40646,shift2916, Polysemy,Tundra Yukaghir,t͡ʃitnej kødʲe,worm,—,Tundra Yukaghir,t͡ʃitnej kødʲe,snake
40647,shift2916, Polysemy,Tver Karelian,mado,worm,—,Tver Karelian,mado,snake
40648,shift2916, Syncretism,Udihe,кулига,worm,—,Udihe,кулига,snake
40649,shift2916, Polysemy,Veps,mado,worm,—,Veps,mado,snake
40650,shift2916, Polysemy,Wolane,tuli,worm,→,Wolane,tuli,"serpent, snake"
40651,shift2916, Cognates,Woleaian,mwat(a),underground worm,—,Lakon (Lakona),mwat,snake
40652,shift2916, Syncretism,Woleaian,rabwuto,worm,—,Woleaian,rabwuto,snake
40653,shift2916, Polysemy,Yabem,moaʔ,worm + moaʔ,—,Yabem,moaʔ,snake
40694,shift2917, Cognates,Akkadian,nēšu,lion,→,Ancient Hebrew,nāḥāš,snake
40695,shift2917, Cognates,Ancient Hebrew,"ʔaryẽ, ʔãrī",lion (HALOT 87),→,Tigre,ʔarwe,snake (WTS 359)
40698,shift2918, Cognates,Ancient Hebrew,"ʔaryẽ, ʔărī",lion,—,Geez,ʔarwe,"animal, wild animal, beast"
40699,shift2918, Cognates,Classical Arabic,hawwām-,lion ,—,Akkadian,"umāmu (emammu, emāmu)","animals (Tiere, Getier)"
40702,shift2919, Cognates,Akkadian,ayāṣu,weasel ,—,Tigrinya,ʔanč̣əwa,"mouse, rat"
40704,shift2920, Cognates,Akkadian,akbaru (akkabaru),jerboa,—,Ancient Hebrew,ʕakbār,mouse
40705,shift2920, Derivation,German,Maus,mouse,→,German,Wüstenspringmaus,"    jerboa, lesser Egyptian jerboa, Jaculus jaculus"
40708,shift2921, Polysemy,Akkadian,imēru,donkey,→,Akkadian,imēru,a mechanical device of a ship; a part of the battering ram
40709,shift2921, Polysemy,Latin,onager,wild donkey,→,Latin,onager,stone fougasse
40710,shift2921, Polysemy,Syriac,ʕərādā,wild ass (asinus ferus),→,Syriac,ʕərādā,machine (machina)
40714,shift2922, Cognates,Classical Arabic,ʕurwat-,lion,—,Mehri,ʔáyri,tom-cat
40716,shift2923, Cognates,Classical Arabic,ṭayr-,"bird (oiseau)' (BK II 129, Lane 1904, LA IV 508)",→,Wolane,ṭur,"'good fortune, luck' (LGur. 630)"
40717,shift2923, Polysemy,Tigrinya,"ʕuf, ʕof, ʕif","'bird, fowl'",→,Tigrinya,"ʕuf, ʕof, ʕif","'luck, good fortune'"
40720,shift2924, Polysemy,Classical Arabic,ğarāˊ,'to run; to flow',→,Classical Arabic,ğarāˊ,'to happen'
40722,shift2925, Derivation,Classical Arabic,ğarāˊ,to run,→,Classical Arabic,ğāriyat-,a female slave
40724,shift2926, Polysemy,Classical Arabic,ğāriyat-,"girl, young woman",←,Classical Arabic,ğāriyat-,female slave
40725,shift2926, Polysemy,Danish,pige,little girl,—,Danish,pige,"female servant, maid"
40726,shift2926, Semantic evolution,English,maid,(arch.) an unmarried girl or woman,→,English,maid,a female servant
40727,shift2926, Polysemy,Hungarian,lány,girl,→,Hungarian,lány,"female servant, maid"
40728,shift2926, Polysemy,Kurux,pellō,"girl, a female child",—,Kurux,pellō,maid-servant
40729,shift2926, Polysemy,Norwegian,pike,little girl,—,Norwegian,pike,"female servant, maid"
40730,shift2926, Polysemy,Romanian,fată,girl,—,Romanian,fată,"female servant, maid"
40731,shift2926, Polysemy,Spanish,muchacha,"girl, maiden",→,Spanish,muchacha,female servant
40732,shift2926, Cognates,Zway,gäräd,"daughter, girl ",→,Amharic,gäräd,"maid, servant girl"
40742,shift2927, Derivation,Italian,cane,dog,→,Italian,pescecane,shark
40743,shift2927, Derivation,Modern Written Arabic,كَلْب kalb-,dog,→,Modern Written Arabic,كَلْب البحر  kalb-u l-baḥr-i,shark'(lit. 'sea dog')
40744,shift2927, Derivation,Turkish,köpek,dog,→,Turkish,köpekbalığı,shark
40748,shift2928, Derivation,Modern Written Arabic,كَلْب kalb-,dog,→,Modern Written Arabic,كَلْب الماء  kalb-u l-māʔ-i,otter; beaver (lit. water dog)
40750,shift2929, Derivation,Classical Arabic,kalb-,'dog',→,Classical Arabic,kaliba,"'to be seized with madness, with hydrophobia (said of a dog, of a man)'"
40751,shift2929, Derivation,Thai,sù-nák (สุนัข),dog,→,Thai,pít-sù-nák-bâa (พิษสุนัขบ้า),rabid
40754,shift2930, Polysemy,Classical Arabic,waḍaʕa,"to put, lay (Lane 3055; BK 1555)",→,Classical Arabic,waḍaʕa,to bring forth (a child)
40755,shift2930, Polysemy,Fula,jippina,"to lower, to cast down",—,Fula,jippina,to give birth
40758,shift2931, Polysemy,Amharic,ṭäḳḳa,"to strike, hit (a bell or phonolith to make it ring)",—,Amharic,ṭäḳḳa,to cover the female (animal)
40759,shift2931, Polysemy,Classical Arabic,ḍaraba,to beat,→,Classical Arabic,ḍaraba,to cover a female (said of male)
40760,shift2931, Polysemy,English,bang,to hit hard,—,English,bang,"(slang, transitive, intransitive, vulgar) to engage in sexual intercourse"
40761,shift2931, Polysemy,English,beat,"to strike, hit",→,English,beat,"(slang, vulgar) to have sexual intercourse"
40762,shift2931, Polysemy,German,rammeln,"to strike, hit",—,German,rammeln,to copulate
40763,shift2931, Derivation,Russian,ëbnut',to hit,←,Russian,ebat',to copulate
40764,shift2931, Polysemy,Russian,трахнуть,"to beat, hit",→,Russian,трахнуть,to copulate
40765,shift2931, Polysemy,Tigrinya,zäbäṭä,"to hit, beat, strike",→,Tigrinya,zäbäṭä,fig. to have sex (vulg.)
40766,shift2931, Derivation,Turkish,vurmak,"to strike, hit",→,Turkish,vuruşmak,to copulate
40776,shift2932, Cognates,Classical Arabic,ḏiʔb-,wolf; jackal,→,Geez,zəʔb-,hyena
40777,shift2932, Polysemy,Welsh,blaidd,wolf,—,Welsh,blaidd,hyena
40780,shift2933, Polysemy,Ancient Greek,λύκος,wolf,→,Ancient Greek,λυκοπάνθηρ,jackal
40781,shift2933, Polysemy,Classical Arabic,ḏiʔb-,wolf,—,Classical Arabic,ḏiʔb-,jachal
40782,shift2933, Derivation,Mandarin Chinese,láng (狼),wolf,—,Mandarin Chinese,húláng (狐狼),jackal
40786,shift2934, Syncretism,Adyghe,къолэжъ (qʷeleẑ),raven,—,Adyghe,къолэжъ (qʷeleẑ),crow
40787,shift2934, Syncretism,Adyghe,цунды (cʷundə),raven,—,Adyghe,цунды (cʷundə),crow
40788,shift2934, Syncretism,Armenian,agṙav (ագռավ),raven,—,Armenian,agṙav (ագռավ),crow
40789,shift2934, Derivation,Avar,чӏегӏергъеду,raven,←,Avar,гъеду,crow
40790,shift2934, Syncretism,Batsbi,q̣oʼ ,raven,—,Batsbi,q̣oʼ ,crow
40791,shift2934, Syncretism,Classical Arabic,ġurāb-,(black) raven,—,Classical Arabic,ġurāb-,crow
40792,shift2934, Syncretism,Classical Armenian,agṙaw (ագռաւ),raven,—,Classical Armenian,agṙaw (ագռաւ),crow
40793,shift2934, Polysemy,Gamilaraay,waaruu,raven,—,Gamilaraay,waaruu,crow
40794,shift2934, Syncretism,Javanese,gagak,raven,—,Javanese,gagak,crow
40795,shift2934, Polysemy,Kildin Saami,ка̄рьнэсь,raven,—,Kildin Saami,ка̄рьнэсь,crow
40796,shift2934, Syncretism,Komi-Permyak,рака,raven,—,Komi-Permyak,рака,crow
40797,shift2934, Syncretism,Maltese,għorab,raven,—,Maltese,għorab,crow
40798,shift2934, Syncretism,Maltese,ċawlun,raven,—,Maltese,ċawlun,carrion crow (Corvus corone)
40799,shift2934, Polysemy,Mandarin Chinese,yā (鴉),raven,—,Mandarin Chinese,yā (鴉),crow
40800,shift2934, Syncretism,Mbula,aŋkor,raven,—,Mbula,aŋkor,crow
40801,shift2934, Derivation,Mi'kmaq,gjiga'qaquj,raven,←,Mi'kmaq,ga'qaquj,crow
40802,shift2934, Derivation,Mongolian (Khalkha),хар хэрээ,raven,←,Mongolian (Khalkha),хэрээ,crow
40803,shift2934, Derivation,Nivkh,вес,raven,→,Nivkh,весӄар,crow
40804,shift2934, Syncretism,Nogai,карга,raven,—,Nogai,карга,crow
40805,shift2934, Derivation,Russian,ворон (voron),raven,—,Russian,ворона (vorona),crow
40806,shift2934, Polysemy,Swahili,kunguru,raven,—,Swahili,kunguru,crow
40807,shift2934, Syncretism,Tibetan,ka ka (ཀ་ཀ),raven,—,Tibetan,ka ka (ཀ་ཀ),crow
